product_id,feature
category_1_product_1,google fast pair
category_1_product_1,upto 50 hours playtime
category_1_product_1,quad mic enc
category_1_product_1,low latency
category_1_product_3,upto 50 hours playtime
category_1_product_3,water resistant
category_1_product_3,quad mic enc
category_1_product_3,bt version
category_1_product_5,upto 50 hours playtime
category_1_product_5,hyper sync
category_1_product_5,dual pairing
category_1_product_5,anc
category_1_product_6,upto 50 hours playtime
category_1_product_6,hyper sync
category_1_product_6,water resistant
category_1_product_6,quad mic enc
category_1_product_8,upto 70 hours playtime
category_1_product_8,hyper sync
category_1_product_8,quad mic enc
category_1_product_8,anc
category_1_product_9,upto 50 hours playtime
category_1_product_9,insta chargefast charge
category_1_product_9,hyper sync
category_1_product_9,quad mic enc
category_1_product_10,upto 60 hours playtime
category_1_product_10,insta chargefast charge
category_1_product_10,dual pairing
category_1_product_10,low latency
category_1_product_13,upto 50 hours playtime
category_1_product_13,insta chargefast charge
category_1_product_13,quad mic enc
category_1_product_13,bt version
category_1_product_16,upto 60 hours playtime
category_1_product_16,hyper sync
category_1_product_16,anc
category_1_product_16,low latency
category_1_product_17,google fast pair
category_1_product_17,upto 50 hours playtime
category_1_product_17,anc
category_1_product_17,inear detectionwear detection
category_1_product_17,lhdc
category_1_product_17,spatial audio
category_1_product_19,upto 45 hours playtime
category_1_product_19,hyper sync
category_1_product_19,water resistant
category_1_product_19,bt version
category_1_product_20,upto 50 hours playtime
category_1_product_20,insta chargefast charge
category_1_product_20,anc
category_1_product_20,low latency
category_1_product_20,inear detectionwear detection
category_1_product_20,6 mics available
category_1_product_21,upto 50 hours playtime
category_1_product_21,insta chargefast charge
category_1_product_21,quad mic enc
category_1_product_21,low latency
category_1_product_22,upto 45 hours playtime
category_1_product_22,insta chargefast charge
category_1_product_22,hyper sync
category_1_product_22,bt version
category_1_product_23,sound by bose
category_1_product_23,noise audio app
category_1_product_23,google fast pair
category_1_product_23,dual pairing
category_1_product_23,anc
category_1_product_23,inear detectionwear detection
category_1_product_23,6 mics available
category_1_product_23,spatial audio
category_1_product_26,upto 40 hours playtime
category_1_product_26,dual pairing
category_1_product_26,touchbutton control
category_1_product_26,bt version
category_1_product_29,upto 120 hours playtime
category_1_product_29,insta chargefast charge
category_1_product_29,hyper sync
category_1_product_29,quad mic enc
category_1_product_30,upto 50 hours playtime
category_1_product_30,insta chargefast charge
category_1_product_30,quad mic enc
category_1_product_30,low latency
category_1_product_31,upto 40 hours playtime
category_1_product_31,hyper sync
category_1_product_31,dual pairing
category_1_product_31,low latency
category_1_product_32,upto 70 hours playtime
category_1_product_32,hyper sync
category_1_product_32,water resistant
category_1_product_32,quad mic enc
category_1_product_34,insta chargefast charge
category_1_product_34,hyper sync
category_1_product_34,quad mic enc
category_1_product_34,anc
category_1_product_35,upto 40 hours playtime
category_1_product_35,hyper sync
category_1_product_35,water resistant
category_1_product_35,quad mic enc
