product_id,feature
category_1_product_1,upto 40 hours playtime
category_1_product_1,dual pairing
category_1_product_1,touchbutton control
category_1_product_1,bt version
category_1_product_2,upto 50 hours playtime
category_1_product_2,insta chargefast charge
category_1_product_2,hyper sync
category_1_product_2,quad mic enc
category_1_product_7,upto 70 hours playtime
category_1_product_7,hyper sync
category_1_product_7,water resistant
category_1_product_7,quad mic enc
category_1_product_9,upto 120 hours playtime
category_1_product_9,insta chargefast charge
category_1_product_9,hyper sync
category_1_product_9,quad mic enc
category_1_product_10,upto 50 hours playtime
category_1_product_10,water resistant
category_1_product_10,quad mic enc
category_1_product_10,bt version
category_1_product_11,upto 50 hours playtime
category_1_product_11,insta chargefast charge
category_1_product_11,anc
category_1_product_11,low latency
category_1_product_11,inear detectionwear detection
category_1_product_11,6 mics available
category_1_product_13,upto 60 hours playtime
category_1_product_13,insta chargefast charge
category_1_product_13,dual pairing
category_1_product_13,low latency
category_1_product_14,sound by bose
category_1_product_14,noise audio app
category_1_product_14,google fast pair
category_1_product_14,dual pairing
category_1_product_14,anc
category_1_product_14,inear detectionwear detection
category_1_product_14,6 mics available
category_1_product_14,spatial audio
category_1_product_15,upto 70 hours playtime
category_1_product_15,hyper sync
category_1_product_15,quad mic enc
category_1_product_15,anc
category_1_product_19,upto 50 hours playtime
category_1_product_19,insta chargefast charge
category_1_product_19,quad mic enc
category_1_product_19,bt version
category_1_product_21,google fast pair
category_1_product_21,upto 50 hours playtime
category_1_product_21,quad mic enc
category_1_product_21,low latency
category_1_product_22,upto 45 hours playtime
category_1_product_22,hyper sync
category_1_product_22,water resistant
category_1_product_22,bt version
category_1_product_23,upto 50 hours playtime
category_1_product_23,hyper sync
category_1_product_23,dual pairing
category_1_product_23,anc
category_1_product_24,upto 60 hours playtime
category_1_product_24,hyper sync
category_1_product_24,anc
category_1_product_24,low latency
category_1_product_25,insta chargefast charge
category_1_product_25,hyper sync
category_1_product_25,quad mic enc
category_1_product_25,anc
category_1_product_27,upto 40 hours playtime
category_1_product_27,hyper sync
category_1_product_27,dual pairing
category_1_product_27,low latency
category_1_product_28,upto 50 hours playtime
category_1_product_28,insta chargefast charge
category_1_product_28,quad mic enc
category_1_product_28,low latency
category_1_product_32,google fast pair
category_1_product_32,upto 50 hours playtime
category_1_product_32,anc
category_1_product_32,inear detectionwear detection
category_1_product_32,lhdc
category_1_product_32,spatial audio
category_1_product_33,upto 45 hours playtime
category_1_product_33,insta chargefast charge
category_1_product_33,hyper sync
category_1_product_33,bt version
category_1_product_34,upto 50 hours playtime
category_1_product_34,hyper sync
category_1_product_34,water resistant
category_1_product_34,quad mic enc
category_1_product_37,upto 40 hours playtime
category_1_product_37,hyper sync
category_1_product_37,water resistant
category_1_product_37,quad mic enc
category_1_product_38,upto 50 hours playtime
category_1_product_38,insta chargefast charge
category_1_product_38,quad mic enc
category_1_product_38,low latency
category_1_product_1,google fast pair
category_1_product_1,upto 50 hours playtime
category_1_product_1,quad mic enc
category_1_product_1,low latency
category_1_product_3,upto 50 hours playtime
category_1_product_3,water resistant
category_1_product_3,quad mic enc
category_1_product_3,bt version
category_1_product_5,upto 50 hours playtime
category_1_product_5,hyper sync
category_1_product_5,dual pairing
category_1_product_5,anc
category_1_product_6,upto 50 hours playtime
category_1_product_6,hyper sync
category_1_product_6,water resistant
category_1_product_6,quad mic enc
category_1_product_8,upto 70 hours playtime
category_1_product_8,hyper sync
category_1_product_8,quad mic enc
category_1_product_8,anc
category_1_product_9,upto 50 hours playtime
category_1_product_10,upto 60 hours playtime
category_1_product_10,insta chargefast charge
category_1_product_10,dual pairing
category_1_product_10,low latency
category_1_product_13,upto 50 hours playtime
category_1_product_13,quad mic enc
category_1_product_13,bt version
category_1_product_16,upto 60 hours playtime
category_1_product_16,hyper sync
category_1_product_16,anc
category_1_product_16,low latency
category_1_product_17,google fast pair
category_1_product_17,upto 50 hours playtime
category_1_product_17,anc
category_1_product_17,inear detectionwear detection
category_1_product_17,lhdc
category_1_product_17,spatial audio
category_1_product_19,upto 45 hours playtime
category_1_product_19,hyper sync
category_1_product_19,water resistant
category_1_product_20,upto 50 hours playtime
category_1_product_20,insta chargefast charge
category_1_product_20,anc
category_1_product_20,low latency
category_1_product_20,inear detectionwear detection
category_1_product_20,6 mics available
category_1_product_21,insta chargefast charge
category_1_product_22,insta chargefast charge
category_1_product_23,sound by bose
category_1_product_23,noise audio app
category_1_product_23,google fast pair
category_1_product_23,inear detectionwear detection
category_1_product_23,6 mics available
category_1_product_23,spatial audio
category_1_product_26,upto 40 hours playtime
category_1_product_26,dual pairing
category_1_product_26,touchbutton control
category_1_product_26,bt version
category_1_product_29,upto 120 hours playtime
category_1_product_29,insta chargefast charge
category_1_product_29,hyper sync
category_1_product_29,quad mic enc
category_1_product_30,upto 50 hours playtime
category_1_product_30,insta chargefast charge
category_1_product_30,quad mic enc
category_1_product_30,low latency
category_1_product_31,upto 40 hours playtime
category_1_product_31,hyper sync
category_1_product_31,dual pairing
category_1_product_31,low latency
category_1_product_32,upto 70 hours playtime
category_1_product_32,hyper sync
category_1_product_32,water resistant
category_1_product_32,quad mic enc
category_1_product_34,insta chargefast charge
category_1_product_34,anc
category_1_product_35,upto 40 hours playtime
category_1_product_35,hyper sync
category_1_product_35,water resistant
category_1_product_35,quad mic enc
