product_id,key,value
category_1_product_3,audio,speaker driver 11 mm
category_1_product_3,battery charging,playtime up to 40 hours charging time up to 90 mins fast charging yes charging port ctype charging indicator yes
category_1_product_3,additional features,instacharge 10 minutes of charge 120 minutes of playtime low latency up to 40 ms hypersync handsfree calling yes voice assistant siri google assistant dual device pairing no
category_1_product_3,connectivity,bt v 53 wireless range 10 m auto pairing yes connects with the last paired device bt supported profile a 2 dp avrcp hfp spp avdtp compatibility android ios
category_1_product_3,physical specification,weight 37 grams dimensions 52 43 26 cm length water resistance rating ip 5
category_1_product_17,audio,speaker driver 13 mm connectivity bt 53 wireless range 10 m bt supported profile sbc aac compatibility android ios
category_1_product_17,physical specification,earbuds weight 3 grams charging case dimension 29208162 mm charging case weight 3 grams water resistance rating ip sweatresistant
category_1_product_17,comfort,form factor half inear controls on ear touch control volume music call control feature on both ear buds siri and google assistant
category_1_product_17,battery charging,playtime up to hours on a single charge and an additional 18 hours with the charging case earbud charging time up to 30 minutes charging case charge time up to 15 hours charging indicator yes
category_1_product_17,additional features,tru bass technology yes instacharge yes hyper sync technology yes hands free calling yes voice assistant siri google assistant
category_1_product_20,audio,speaker driver 13 mm
category_1_product_20,battery charging,playtime up to 6 hours on a single charge and an additional 24 hours with the charging case earbud charging time up to 60 minutes charging case charge time up to 90 minutes charging indicator yes
category_1_product_20,additional features,instacharge 10min charge 150min playtime hyper sync technology yes hands free calling yes voice assistant siri google assistant
category_1_product_20,connectivity,bt 52 wireless range 10 m bt supported profile sbc aac compatibility android ios
category_1_product_20,physical specification,earbuds weight 5 grams charging case dimension 595226 mm charging case weight 30 grams water resistance rating ip 5 waterresistant
category_1_product_20,comfort,form factor inear controls on ear touch control volume music call control feature on both earbuds siri and google assistant
